trial,testing,state,action,reward,Q_before,Q_after
2,False,"('left', 'red', 'left')",forward,-9.31689686720738,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '-6.52', None: '0.00', 'right': '0.00', 'left': '0.00'}"
2,False,"('left', 'green', 'left')",,1.1097597793506815,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.78', 'right': '0.00', 'left': '0.00'}"
2,False,"('left', 'green', 'forward')",,-5.47480498884287,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '-3.83', 'right': '0.00', 'left': '0.00'}"
2,False,"('left', 'red', None)",forward,-39.746097867886995,"{'forward': '-6.62', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '-29.81', None: '0.00', 'right': '0.00', 'left': '0.00'}"
2,False,"('left', 'red', None)",left,-39.52616194342571,"{'forward': '-29.81', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '-29.81', None: '0.00', 'right': '0.00', 'left': '-27.67'}"
2,False,"('left', 'green', None)",left,2.021355974516216,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '1.18'}","{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '1.77'}"
3,False,"('right', 'green', 'right')",right,2.026193789210119,"{'forward': '0.00', None: '-3.70', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '-3.70', 'right': '1.42', 'left': '0.00'}"
3,False,"('right', 'green', 'left')",,0.98555764173768,"{'forward': '0.56', None: '0.75', 'right': '0.00', 'left': '0.00'}","{'forward': '0.56', None: '0.92', 'right': '0.00', 'left': '0.00'}"
3,False,"('right', 'green', None)",right,1.5586746217452492,"{'forward': '0.00', None: '-4.76', 'right': '2.14', 'left': '0.35'}","{'forward': '0.00', None: '-4.76', 'right': '1.73', 'left': '0.35'}"
3,False,"('forward', 'green', None)",forward,2.2788521367642574,"{'forward': '1.70', None: '0.00', 'right': '0.00', 'left': '0.50'}","{'forward': '2.11', None: '0.00', 'right': '0.00', 'left': '0.50'}"
3,False,"('forward', 'red', 'left')",left,-10.504122561295922,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '-7.35'}"
3,False,"('forward', 'red', 'left')",right,-19.735773936080438,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '-7.35'}","{'forward': '0.00', None: '0.00', 'right': '-13.82', 'left': '-7.35'}"
3,False,"('forward', 'green', 'left')",left,0.5517264506104897,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.39'}"
