trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
846,True,"{'a': 0, 'e': 0}",20,0,-15.509835733800061,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
847,True,"{'a': 0, 'e': 0}",25,0,31.71006924152854,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
848,True,"{'a': 0, 'e': 0}",20,0,24.324820989091215,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
849,True,"{'a': 0, 'e': 0}",25,0,35.00633586342654,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
850,True,"{'a': 0, 'e': 0}",20,0,30.980023866590425,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
851,True,"{'a': 0, 'e': 0}",30,0,34.34989302098393,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
852,True,"{'a': 0, 'e': 0}",20,0,3.964304974074903,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
853,True,"{'a': 0, 'e': 0}",20,0,27.213446349514957,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
854,True,"{'a': 0, 'e': 0}",35,0,21.35962922909983,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
855,True,"{'a': 0, 'e': 0}",30,0,33.25952042709,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
856,True,"{'a': 0, 'e': 0}",30,0,44.20247693268356,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
857,True,"{'a': 0, 'e': 0}",20,0,28.04432913205364,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
858,True,"{'a': 0, 'e': 0}",25,0,31.208224546898144,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
859,True,"{'a': 0, 'e': 0}",20,0,28.061638350788712,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
860,True,"{'a': 0, 'e': 0}",35,0,42.15883782164798,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
861,True,"{'a': 0, 'e': 0}",25,0,38.69865385543936,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
862,True,"{'a': 0, 'e': 0}",30,0,36.95958738612637,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
863,True,"{'a': 0, 'e': 0}",20,0,27.641759438362396,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
864,True,"{'a': 0, 'e': 0}",30,0,41.60481737378486,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
865,True,"{'a': 0, 'e': 0}",30,0,45.473190346817134,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
866,True,"{'a': 0, 'e': 0}",30,0,39.54974572101753,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
867,True,"{'a': 0, 'e': 0}",20,0,24.600622148341415,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
868,True,"{'a': 0, 'e': 0}",30,0,37.61773845900395,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
869,True,"{'a': 0, 'e': 0}",20,0,31.45577018771784,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
870,True,"{'a': 0, 'e': 0}",20,0,27.725867485678766,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
871,True,"{'a': 0, 'e': 0}",20,0,25.894561259140648,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
872,True,"{'a': 0, 'e': 0}",20,0,29.399657275275324,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
873,True,"{'a': 0, 'e': 0}",30,0,34.04128260370316,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
874,True,"{'a': 0, 'e': 0}",35,0,47.13600831515006,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
875,True,"{'a': 0, 'e': 0}",20,0,28.031845257640462,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
876,True,"{'a': 0, 'e': 0}",30,0,41.53351587650197,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
877,True,"{'a': 0, 'e': 0}",30,0,14.78180808145224,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
878,True,"{'a': 0, 'e': 0}",20,0,28.749436270611888,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
