trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",20,0,-109.9488492985652,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1}",35,0,-77.29891229990555,"{0: 24, 1: 3, 2: 7, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1}",25,0,-81.70113573972117,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1}",25,0,-49.944266514117174,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1}",30,0,-172.84956690399827,"{0: 15, 1: 6, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1}",25,0,-114.01288988656822,"{0: 12, 1: 8, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1}",30,0,-185.30279573908047,"{0: 16, 1: 6, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1}",20,0,-7.443855285367984,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1}",20,0,-141.48213577226355,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1}",20,0,-117.647287964578,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1}",35,0,-116.33279331006608,"{0: 23, 1: 4, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1}",20,0,-171.9541075598392,"{0: 7, 1: 4, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1}",25,0,-234.74560591829902,"{0: 10, 1: 6, 2: 5, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1}",25,16,-13.073936725427005,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1}",30,0,-216.11879637337776,"{0: 13, 1: 4, 2: 7, 3: 5, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1}",20,0,-32.96745603282732,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
