trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",25,0,-109.44467082856822,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1}",20,0,-201.22909772551048,"{0: 10, 1: 0, 2: 5, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1}",20,0,-107.14181772122025,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1}",30,0,-151.3220486095652,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1}",25,0,-128.49694046435266,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1}",30,0,-148.0749978400741,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1}",25,12,-14.828787037848322,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1}",20,0,-54.430034120992325,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1}",20,0,-190.01941274002766,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1}",20,0,-118.15873150328154,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1}",20,1,-24.6732342020434,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1}",30,0,-233.39439800061493,"{0: 15, 1: 3, 2: 8, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1}",30,0,-185.63710984950797,"{0: 14, 1: 5, 2: 8, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1}",25,0,-116.63456616583514,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1}",20,0,-100.61948868038724,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1}",20,0,-88.666251272007,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1}",20,0,-157.38051676219754,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1}",25,0,-107.14357582200292,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1}",25,0,-105.61987861636246,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1}",20,0,-91.61792663523413,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 1}",20,0,-119.82234274151509,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 1}",25,0,-78.57027883942264,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 1}",25,0,-150.16740781784753,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
24,False,"{'a': 0.5, 'e': 1}",25,0,-91.85749175883336,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 1}",20,0,-124.45723108155602,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 1}",20,0,-80.49253278383613,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 1}",20,0,-116.28935279897965,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
28,False,"{'a': 0.5, 'e': 1}",25,0,-110.71125845170495,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
