trial,testing,state,action,reward,Q_before,Q_after
1,False,"('right', 'green', None, None, None)",right,1.696055522880805,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.85', 'left': '0.00'}"
1,False,"('right', 'green', None, 'left', 'left')",forward,1.2940108196502629,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.65', None: '0.00', 'right': '0.00', 'left': '0.00'}"
1,False,"('right', 'red', None, None, None)",left,-10.790860968397094,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '-5.40'}"
1,False,"('right', 'red', None, None, None)",,2.8515215691143854,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '-5.40'}","{'forward': '0.00', None: '1.43', 'right': '0.00', 'left': '-5.40'}"
1,False,"('right', 'red', None, None, None)",right,2.4101161359518484,"{'forward': '0.00', None: '1.43', 'right': '0.00', 'left': '-5.40'}","{'forward': '0.00', None: '1.43', 'right': '1.21', 'left': '-5.40'}"
1,False,"('forward', 'red', None, None, None)",left,-9.745704300193571,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '-4.87'}"
1,False,"('forward', 'green', 'left', None, None)",,0.363661980274257,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.18', 'right': '0.00', 'left': '0.00'}"
1,False,"('forward', 'green', None, None, None)",,-4.788732628247907,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '-2.39', 'right': '0.00', 'left': '0.00'}"
1,False,"('forward', 'green', 'forward', None, None)",forward,1.1024424908527264,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.55', None: '0.00', 'right': '0.00', 'left': '0.00'}"
1,False,"('forward', 'green', 'left', 'left', 'left')",left,1.0571753056662996,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.53'}"
1,False,"('right', 'red', 'left', 'right', None)",left,-10.534260311812151,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '-5.27'}"
1,False,"('right', 'red', 'left', None, 'forward')",right,1.26900172317502,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.63', 'left': '0.00'}"
1,False,"('forward', 'red', 'right', None, 'right')",left,-40.54682487895781,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '-20.27'}"
1,False,"('forward', 'green', 'forward', None, None)",,-5.009347046028991,"{'forward': '0.55', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.55', None: '-2.50', 'right': '0.00', 'left': '0.00'}"
1,False,"('forward', 'green', None, None, None)",left,0.1580826215952934,"{'forward': '0.00', None: '-2.39', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '-2.39', 'right': '0.00', 'left': '0.08'}"
1,False,"('right', 'green', None, 'forward', None)",right,2.257526091426961,"{'forward': '0.00', None: '0.00', 'right': '0.00', 'left': '0.00'}","{'forward': '0.00', None: '0.00', 'right': '1.13', 'left': '0.00'}"
