trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.62069814481230345}",20,9,-48.73694017119415,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.50928953361128382}",20,0,-89.31112759393223,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.3915543962128768}",20,0,-130.48325808403092,"{0: 9, 1: 0, 2: 10, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.33000125056659246}",25,12,-48.16633685302833,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.35699010711007323}",20,0,-86.84914904707757,"{0: 10, 1: 0, 2: 10, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.45736736676153672}",25,0,-73.61177451884457,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.57659757954030677}",25,0,-119.9427738786722,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.65002838110839423}",20,7,-59.83744499106443,"{0: 6, 1: 0, 2: 7, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.63758439078151274}",20,0,-45.94439250941609,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.54527255297250432}",20,0,-62.960912765739664,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.42195867709129636}",30,23,-2.617508124327745,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.33314495635255381}",25,0,-89.91748991498397,"{0: 15, 1: 0, 2: 9, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.32582003267033444}",25,19,-34.65539921489197,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.40324384533400121}",30,0,-155.29683223785682,"{0: 19, 1: 0, 2: 8, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.52319827501195904}",20,0,-13.348571004042304,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.62064232645541539}",25,0,-115.34234988675296,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.64261457450793202}",20,0,-88.70636210567206,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.57665344388498196}",25,0,-124.76025324740378,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.4574843678943607}",25,0,-101.42657645800638,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.34838534785686309}",20,15,-2.6030324233967823,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.30723056888671096}",20,0,-84.29150900611056,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.35543382374954774}",20,0,7.85990089025504,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.46645739494513544}",20,0,-40.66872701777165,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.58005278470734667}",25,0,-132.40516977052047,"{0: 15, 1: 0, 2: 7, 3: 2, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.63459140017272975}",25,0,-179.6344793398884,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.60013582830232404}",20,0,-21.378586720365185,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.49450491819260978}",20,0,-75.69056218753266,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.37371178996262189}",20,0,-5.593497401993026,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.30190594751986038}",30,0,-196.95438673270039,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 4}",0
30,False,"{'a': 0.5, 'e': 0.31694922665108077}",20,0,-80.92151668649487,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.41009829104937839}",20,0,-9.313195755731376,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.53069650122283285}",30,0,-119.35062190481354,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.61335739497676411}",20,0,-158.46361959833152,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.61305251867732025}",30,17,-55.1717507336122,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.52927469790620074}",20,0,-18.79528095713077,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.40631019854436068}",25,13,-0.7893818284627625,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.30947373058826394}",25,0,-30.384460819981193,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.29005912071322371}",35,0,-97.43415162949064,"{0: 27, 1: 2, 2: 2, 3: 3, 4: 1}",0
